1、不做处理时
内存数据变化：
	4.99269485473632,	4.98945999145507,	4.98317718505859,	4.99202728271484,	4.98688507080078,	4.98490905761718,	5.16588973999023,	5.37707901000976,	5.63764953613281,	5.67367553710937,	5.68843460083007,	5.69052124023437,	5.69482040405273,	5.69282531738281,	5.69475173950195,	5.6955223083496,	5.69425201416015,	5.69521331787109,	5.69987869262695,	5.71728515625,	5.71906280517578,	5.73315048217773,	5.73309707641601,	5.74259185791015,	5.73816299438476,	5.73670196533203,	5.73627090454101,	5.73609542846679,	5.73591613769531,	5.73465728759765,	5.73094940185546,	5.73171234130859,	5.73160171508789,	5.73134613037109,	5.73103713989257,	5.73118209838867,	5.73114395141601,	5.7314338684082,	5.74026489257812,	5.73832321166992,	5.74665451049804,	5.74645614624023,	5.74328994750976,	5.7400894165039,	5.73957824707031,	5.74415588378906,	5.74337005615234,	5.74312210083007,	5.74195861816406,	5.74124526977539,
耗时：
开始时间：509055139179100, 结束时间：509055282003400, 耗时：0.1428243s
开始时间：509041407003000, 结束时间：509041927564300, 耗时：0.5205613s
开始时间：509044888820600, 结束时间：509045026856300, 耗时：0.1380357s
开始时间：509042549231500, 结束时间：509043240267300, 耗时：0.6910358s
开始时间：509044751249400, 结束时间：509044888774100, 耗时：0.1375247s
开始时间：509042066832100, 结束时间：509042206407700, 耗时：0.1395756s
开始时间：509052644330200, 结束时间：509052782691600, 耗时：0.1383614s
开始时间：509047860479700, 结束时间：509047994777900, 耗时：0.1342982s
开始时间：509050061198000, 结束时间：509050197331500, 耗时：0.1361335s
开始时间：509050606287200, 结束时间：509050743004500, 耗时：0.1367173s
开始时间：509045026890200, 结束时间：509045161660000, 耗时：0.1347698s
开始时间：509049786331400, 结束时间：509049922382700, 耗时：0.1360513s
开始时间：509048544006100, 结束时间：509048681617700, 耗时：0.1376116s
开始时间：509051824231000, 结束时间：509051959549600, 耗时：0.1353186s
开始时间：509048133948800, 结束时间：509048273814300, 耗时：0.1398655s
开始时间：509046508920100, 结束时间：509046644702100, 耗时：0.135782s
开始时间：509040449579200, 结束时间：509040773251000, 耗时：0.3236718s
开始时间：509052096570500, 结束时间：509052233533700, 耗时：0.1369632s
开始时间：509049372266700, 结束时间：509049509807500, 耗时：0.1375408s
开始时间：509051418313900, 结束时间：509051553115800, 耗时：0.1348019s
开始时间：509044211001100, 结束时间：509044345386200, 耗时：0.1343851s
开始时间：509054999502100, 结束时间：509055139140300, 耗时：0.1396382s



2、解析并加入map中
内存数据变化：
	5.2778091430664,	5.27750396728515,	5.27685928344726,	5.27676391601562,	5.28610229492187,	5.29260635375976,	5.28960037231445,	5.37857437133789,	5.64946365356445,	5.8023567199707,	6.0540771484375,	6.09083557128906,	6.14161682128906,	6.18588638305664,	6.23650741577148,	6.23536682128906,	6.23612976074218,	6.24063873291015,	6.26703262329101,	6.27920913696289,	6.28167724609375,	6.31258392333984,	6.31402587890625,	6.31404876708984,	6.32276153564453,	6.32794952392578,	6.34108352661132,	6.36566925048828,	6.37939834594726,	6.39540863037109,	6.42175674438476,	6.46104049682617,	6.53062057495117,	6.56063079833984,	6.5944480895996,	6.62641143798828,	6.6316795349121,	6.63175582885742,	6.63031387329101,	6.63653564453125,	6.66906356811523,	6.72705459594726,	6.74766159057617,	6.7476577758789,	6.74760437011718,	6.74732208251953,	6.74767684936523,	6.75137329101562,	6.75500106811523,	6.81468963623046,

耗时：
开始时间：508478700711300, 结束时间：508478854632100, 耗时：0.1539208s
开始时间：508480264938700, 结束时间：508480293683100, 耗时：0.0287444s
开始时间：508484500166900, 结束时间：508485588806300, 耗时：1.0886394s
开始时间：508490640478800, 结束时间：508491586786100, 耗时：0.9463073s
开始时间：508519375218000, 结束时间：508519719286700, 耗时：0.3440687s
开始时间：508523627738600, 结束时间：508523676981100, 耗时：0.0492425s
开始时间：508521002100600, 结束时间：508521306948900, 耗时：0.3048483s
开始时间：508517336918500, 结束时间：508517740120800, 耗时：0.4032023s
开始时间：508509390935800, 结束时间：508510623712100, 耗时：1.2327763s
开始时间：508478854656200, 结束时间：508479007269200, 耗时：0.152613s
开始时间：508492557787900, 结束时间：508493501578300, 耗时：0.9437904s
开始时间：508521602799700, 结束时间：508521877530500, 耗时：0.2747308s
开始时间：508491586834300, 结束时间：508492557761300, 耗时：0.970927s
开始时间：508511899454600, 结束时间：508512479173500, 耗时：0.5797189s
开始时间：508474766229200, 结束时间：508475153643000, 耗时：0.3874138s
开始时间：508479422969900, 结束时间：508479562260400, 耗时：0.1392905s
开始时间：508522354986000, 结束时间：508522526260800, 耗时：0.1712748s
开始时间：508522526290600, 结束时间：508522776464800, 耗时：0.2501742s
开始时间：508487691672200, 结束时间：508488706239400, 耗时：1.0145672s
开始时间：508516482610800, 结束时间：508516910577400, 耗时：0.4279666s
开始时间：508475153666100, 结束时间：508475265494900, 耗时：0.1118288s
开始时间：508477140690200, 结束时间：508477272600000, 耗时：0.1319098s
开始时间：508514616602200, 结束时间：508515111981300, 耗时：0.4953791s
开始时间：508518569858900, 结束时间：508518999478900, 耗时：0.42962s
开始时间：508523457173400, 结束时间：508523563777500, 耗时：0.1066041s
开始时间：508486689891300, 结束时间：508487691646600, 耗时：1.0017553s
开始时间：508520374852500, 结束时间：508520701085900, 耗时：0.3262334s
开始时间：508478426681500, 结束时间：508478565808000, 耗时：0.1391265s
开始时间：508508622861100, 结束时间：508509390900500, 耗时：0.7680394s
开始时间：508511326705500, 结束时间：508511899421900, 耗时：0.5727164s
开始时间：508474609938400, 结束时间：508474766205000, 耗时：0.1562666s
开始时间：508497355896000, 结束时间：508498295437300, 耗时：0.9395413s
